행정동코드,행정구역,기준연월,총인구수
4111354000,경기도 수원시 권선구 세류3동,202408,17605.0
4111354000,경기도 수원시 권선구 세류3동,202409,17525.0
4111354000,경기도 수원시 권선구 세류3동,202410,17496.0
4111354000,경기도 수원시 권선구 세류3동,202411,17425.0
4111354000,경기도 수원시 권선구 세류3동,202412,17397.0
4111354000,경기도 수원시 권선구 세류3동,202501,17347.0
4111354000,경기도 수원시 권선구 세류3동,202502,17334.0
4111354000,경기도 수원시 권선구 세류3동,202503,17312.0
4111354000,경기도 수원시 권선구 세류3동,202504,17295.0
4111354000,경기도 수원시 권선구 세류3동,202505,17252.0
4111354000,경기도 수원시 권선구 세류3동,202506,17215.0
4111355000,경기도 수원시 권선구 평동,202307,41247.0
4111355000,경기도 수원시 권선구 평동,202308,41122.0
4111355000,경기도 수원시 권선구 평동,202309,40996.0
4111355000,경기도 수원시 권선구 평동,202310,40988.0
4111355000,경기도 수원시 권선구 평동,202311,40995.0
4111355000,경기도 수원시 권선구 평동,202312,40962.0
4111355000,경기도 수원시 권선구 평동,202401,40960.0
4111355000,경기도 수원시 권선구 평동,202402,40892.0
4111355000,경기도 수원시 권선구 평동,202403,40817.0
4111355000,경기도 수원시 권선구 평동,202404,40712.0
4111355000,경기도 수원시 권선구 평동,202405,40689.0
4111355000,경기도 수원시 권선구 평동,202406,40638.0
4111355000,경기도 수원시 권선구 평동,202407,40581.0
4111355000,경기도 수원시 권선구 평동,202408,40584.0
4111355000,경기도 수원시 권선구 평동,202409,40563.0
4111355000,경기도 수원시 권선구 평동,202410,40484.0
4111355000,경기도 수원시 권선구 평동,202411,40530.0
4111355000,경기도 수원시 권선구 평동,202412,40623.0
4111355000,경기도 수원시 권선구 평동,202501,40649.0
4111355000,경기도 수원시 권선구 평동,202502,40752.0
4111355000,경기도 수원시 권선구 평동,202503,40876.0
4111355000,경기도 수원시 권선구 평동,202504,40811.0
4111355000,경기도 수원시 권선구 평동,202505,40845.0
4111355000,경기도 수원시 권선구 평동,202506,40896.0
4111356000,경기도 수원시 권선구 서둔동,202307,37863.0
4111356000,경기도 수원시 권선구 서둔동,202308,37809.0
4111356000,경기도 수원시 권선구 서둔동,202309,37729.0
4111356000,경기도 수원시 권선구 서둔동,202310,37654.0
4111356000,경기도 수원시 권선구 서둔동,202311,37584.0
4111356000,경기도 수원시 권선구 서둔동,202312,37614.0
4111356000,경기도 수원시 권선구 서둔동,202401,37651.0
4111356000,경기도 수원시 권선구 서둔동,202402,37654.0
4111356000,경기도 수원시 권선구 서둔동,202403,37593.0
4111356000,경기도 수원시 권선구 서둔동,202404,37554.0
4111356000,경기도 수원시 권선구 서둔동,202405,37526.0
4111356000,경기도 수원시 권선구 서둔동,202406,37454.0
4111356000,경기도 수원시 권선구 서둔동,202407,37401.0
4111356000,경기도 수원시 권선구 서둔동,202408,37324.0
4111356000,경기도 수원시 권선구 서둔동,202409,37230.0
4111356000,경기도 수원시 권선구 서둔동,202410,37152.0
4111356000,경기도 수원시 권선구 서둔동,202411,37090.0
