기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
6,4117351000,241779,경기도 안양시 동안구 비산1동,28723,1299293.6,2024,0
7,4117351000,288010,경기도 안양시 동안구 비산1동,28625,1250303.0,2024,0
8,4117351000,205431,경기도 안양시 동안구 비산1동,28583,1243708.8,2024,0
9,4117351000,323979,경기도 안양시 동안구 비산1동,28582,1350248.1,2024,0
10,4117351000,354934,경기도 안양시 동안구 비산1동,28573,1311395.6,2024,0
11,4117351000,233710,경기도 안양시 동안구 비산1동,28548,1282737.8,2024,0
12,4117351000,236856,경기도 안양시 동안구 비산1동,28439,1275314.9,2024,0
1,4117351000,295042,경기도 안양시 동안구 비산1동,28443,1288927.6,2025,0
2,4117351000,306860,경기도 안양시 동안구 비산1동,28349,1164667.4,2025,0
3,4117351000,377927,경기도 안양시 동안구 비산1동,28304,1342753.8,2025,0
4,4117351000,391324,경기도 안양시 동안구 비산1동,28216,1296809.6,2025,0
5,4117351000,409050,경기도 안양시 동안구 비산1동,28221,1360911.2,2025,0
6,4117351000,348020,경기도 안양시 동안구 비산1동,28195,1240424.1,2025,0
7,4117352000,149854893,경기도 안양시 동안구 비산2동,14664,197700.12,2023,0
8,4117352000,419844317,경기도 안양시 동안구 비산2동,14655,197339.77,2023,0
9,4117352000,594216949,경기도 안양시 동안구 비산2동,14605,195746.2,2023,0
10,4117352000,501797102,경기도 안양시 동안구 비산2동,14594,203178.33,2023,0
11,4117352000,417181756,경기도 안양시 동안구 비산2동,14580,198734.31,2023,0
12,4117352000,413839234,경기도 안양시 동안구 비산2동,14547,205827.66,2023,0
1,4117352000,356438830,경기도 안양시 동안구 비산2동,14530,203577.12,2024,0
2,4117352000,248298527,경기도 안양시 동안구 비산2동,14525,198698.27,2024,0
3,4117352000,155731226,경기도 안양시 동안구 비산2동,14514,205218.83,2024,0
4,4117352000,263753297,경기도 안양시 동안구 비산2동,14526,214555.62,2024,0
5,4117352000,201100087,경기도 안양시 동안구 비산2동,14526,206885.94,2024,0
6,4117352000,244536415,경기도 안양시 동안구 비산2동,14531,197352.84,2024,0
7,4117352000,282533520,경기도 안양시 동안구 비산2동,14524,200308.69,2024,0
8,4117352000,260226541,경기도 안양시 동안구 비산2동,14548,199338.55,2024,0
9,4117352000,297087562,경기도 안양시 동안구 비산2동,14531,207976.55,2024,0
10,4117352000,203102361,경기도 안양시 동안구 비산2동,14556,199220.97,2024,0
11,4117352000,238316519,경기도 안양시 동안구 비산2동,14517,198154.17,2024,0
12,4117352000,250977445,경기도 안양시 동안구 비산2동,14491,204907.17,2024,0
1,4117352000,275640865,경기도 안양시 동안구 비산2동,14489,217522.0,2025,0
2,4117352000,380870595,경기도 안양시 동안구 비산2동,14467,193983.12,2025,0
3,4117352000,408049871,경기도 안양시 동안구 비산2동,14441,212016.0,2025,0
4,4117352000,335543260,경기도 안양시 동안구 비산2동,14461,202911.64,2025,0
5,4117352000,296257502,경기도 안양시 동안구 비산2동,14467,190965.36,2025,0
6,4117352000,286494539,경기도 안양시 동안구 비산2동,14421,168223.33,2025,0
7,4117353000,61064767,경기도 안양시 동안구 비산3동,11596,264328.75,2023,0
8,4117353000,8041019,경기도 안양시 동안구 비산3동,11571,272619.72,2023,0
9,4117353000,373705,경기도 안양시 동안구 비산3동,11543,256827.78,2023,0
10,4117353000,310719,경기도 안양시 동안구 비산3동,11505,269865.88,2023,0
11,4117353000,343618,경기도 안양시 동안구 비산3동,11470,259304.3,2023,0
12,4117353000,462714,경기도 안양시 동안구 비산3동,11438,255302.84,2023,0
1,4117353000,431035,경기도 안양시 동안구 비산3동,11398,252807.7,2024,0
2,4117353000,304412,경기도 안양시 동안구 비산3동,11362,237896.5,2024,0
3,4117353000,172521,경기도 안양시 동안구 비산3동,11342,260339.12,2024,0
4,4117353000,261465,경기도 안양시 동안구 비산3동,11318,264356.44,2024,0
5,4117353000,321663,경기도 안양시 동안구 비산3동,11316,257667.16,2024,0
6,4117353000,297279,경기도 안양시 동안구 비산3동,11961,259168.0,2024,0
7,4117353000,253288,경기도 안양시 동안구 비산3동,14855,346492.47,2024,0
8,4117353000,242449,경기도 안양시 동안구 비산3동,16589,345990.0,2024,0
