기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
9,4117353000,380025,경기도 안양시 동안구 비산3동,16949,357833.1,2024,0
10,4117353000,194799,경기도 안양시 동안구 비산3동,17180,350991.12,2024,0
11,4117353000,196518,경기도 안양시 동안구 비산3동,17369,364401.34,2024,0
12,4117353000,211778,경기도 안양시 동안구 비산3동,17650,362166.62,2024,0
1,4117353000,120411,경기도 안양시 동안구 비산3동,17803,381432.0,2025,0
2,4117353000,470013,경기도 안양시 동안구 비산3동,17890,349084.16,2025,0
3,4117353000,291043,경기도 안양시 동안구 비산3동,17871,371646.6,2025,0
4,4117353000,309005,경기도 안양시 동안구 비산3동,17886,344074.75,2025,0
5,4117353000,198417,경기도 안양시 동안구 비산3동,17889,344472.16,2025,0
6,4117353000,95105,경기도 안양시 동안구 비산3동,17927,333786.47,2025,0
7,4117354000,95541585,경기도 안양시 동안구 부흥동,16585,1646291.4,2023,0
8,4117354000,17616102,경기도 안양시 동안구 부흥동,16579,1560939.0,2023,0
9,4117354000,824364,경기도 안양시 동안구 부흥동,16581,1516397.8,2023,0
10,4117354000,750682,경기도 안양시 동안구 부흥동,16576,1562919.9,2023,0
11,4117354000,631850,경기도 안양시 동안구 부흥동,16538,1498059.0,2023,0
12,4117354000,548502,경기도 안양시 동안구 부흥동,16517,1534853.6,2023,0
1,4117354000,648850,경기도 안양시 동안구 부흥동,16470,1521484.8,2024,0
2,4117354000,451518,경기도 안양시 동안구 부흥동,16438,1501678.4,2024,0
3,4117354000,337934,경기도 안양시 동안구 부흥동,16435,1580347.9,2024,0
4,4117354000,421270,경기도 안양시 동안구 부흥동,16424,1626928.6,2024,0
5,4117354000,305416,경기도 안양시 동안구 부흥동,16378,1616085.6,2024,0
6,4117354000,506510,경기도 안양시 동안구 부흥동,16370,1526153.4,2024,0
7,4117354000,575568,경기도 안양시 동안구 부흥동,16298,1505023.4,2024,0
8,4117354000,525566,경기도 안양시 동안구 부흥동,16213,1484097.1,2024,0
9,4117354000,540408,경기도 안양시 동안구 부흥동,16139,1533221.9,2024,0
10,4117354000,317302,경기도 안양시 동안구 부흥동,16106,1485460.1,2024,0
11,4117354000,438850,경기도 안양시 동안구 부흥동,16097,1404086.8,2024,0
12,4117354000,524982,경기도 안양시 동안구 부흥동,16041,1376108.8,2024,0
1,4117354000,561816,경기도 안양시 동안구 부흥동,16004,1434485.4,2025,0
